attribute_id,category_id,active
2,4000471,1
2,4000472,1
2,4000473,1
2,4000474,1
2,4000475,1
2,4000476,1
2,4000477,1
2,4000478,1
2,4000479,1
2,4000480,1
2,4000481,1
2,4000482,1
2,4000483,1
2,4000484,1
2,4000485,1
2,4000486,1
2,4000487,1
2,4000488,1
2,4000489,1
2,4000490,1
2,4000491,1
2,4000492,1
2,4000493,1
2,4000494,1
2,4000495,1
2,4000496,1
2,4000497,1
2,4000498,1
2,4000499,1
2,4000500,1
2,4000501,1
2,4000502,1
2,4000503,1
2,4000504,1
2,4000505,1
2,4000506,1
2,4000507,1
2,4000508,1
2,4000509,1
2,4000510,1
2,4000511,1
2,4000512,1
2,4000513,1
2,4000514,1
2,4000515,1
2,4000516,1
2,4000517,1
2,4000518,1
2,4000519,1
2,4000520,1
2,4000521,1
2,4000522,1
2,4000523,1
2,4000524,1
2,4000525,1
2,4000526,1
2,4000527,1
2,4000528,1
2,4000529,1
2,4000530,1
2,4000531,1
2,4000532,1
2,4000533,1
2,4000534,1
2,4000535,1
2,4000536,1
2,4000537,1
