id,Name,Parent_id,active,Level,JetTaxCode
13000390,Bat Feeders & Houses,13000389,1,2,Generic Taxable Product
13000393,Bird Feeders & Houses,13000389,1,2,Generic Taxable Product
13000394,Bird Food,13000389,1,2,Generic Taxable Product
13000395,Birdbath Accessories,13000389,1,2,Generic Taxable Product
13000396,Birdbaths,13000389,1,2,Generic Taxable Product
13000397,Birdhouse Accessories,13000389,1,2,Generic Taxable Product
13000399,Butterfly Feeders & Houses,13000389,1,2,Generic Taxable Product
13000400,Butterfly Food,13000389,1,2,Generic Taxable Product
13000402,Squirrel Feeders & Houses,13000389,1,2,Generic Taxable Product
13000403,Squirrel Food,13000389,1,2,Generic Taxable Product
13000405,Water Gardens & Ponds,13000000,1,1,Generic Taxable Product
13000406,Pond Lighting,13000405,1,2,Generic Taxable Product
13000407,Aquatic Plant Food,13000405,1,2,Generic Taxable Product
13000409,Filtration,13000405,1,2,Generic Taxable Product
13000410,Pond & Waterfall Kits,13000405,1,2,Generic Taxable Product
13000412,Pond Décor,13000405,1,2,Generic Taxable Product
13000413,Pond De-Icer,13000405,1,2,Generic Taxable Product
13000415,Pond Liners & Seals,13000405,1,2,Generic Taxable Product
13000416,Pond Netting,13000405,1,2,Generic Taxable Product
13000418,Pumps & Circulation,13000405,1,2,Generic Taxable Product
13000419,Skimming Nets,13000405,1,2,Generic Taxable Product
13000420,Test Kits & Thermometers,13000405,1,2,Generic Taxable Product
13000421,Water Garden Kits,13000405,1,2,Generic Taxable Product
13000422,Water Treatment,13000405,1,2,Generic Taxable Product
13000424,Lighters & Matches,13000073,1,2,Generic Taxable Product
13000501,Rugs & Doormats,13000000,1,1,Generic Taxable Product
13000502,Window Treatments,13000000,1,1,Generic Taxable Product
13000503,Kitchen,13000000,1,1,Generic Taxable Product
13000504,Dining & Entertaining,13000000,1,1,Generic Taxable Product
13000505,Gardening Tools ,13000000,1,1,Generic Taxable Product
13000506,Landscaping & Lawn Care,13000000,1,1,Generic Taxable Product
13000507,Outdoor Power Equipment,13000000,1,1,Generic Taxable Product
13000508,Outdoor Heating,13000000,1,1,Generic Taxable Product
13000601,Shower Curtains & Liners,13000001,1,2,Generic Taxable Product
13000603,Soap Dishes & Dispensers,13000001,1,2,Generic Taxable Product
13000604,Toothbrush Holders,13000001,1,2,Generic Taxable Product
13000605,Tissue Box Covers,13000001,1,2,Generic Taxable Product
13000606,Shower Caddies,13000001,1,2,Generic Taxable Product
13000607,Bathroom Sets,13000001,1,2,Generic Taxable Product
13000608,Candles,13000084,1,2,Generic Taxable Product
13000609,Candle Holders,13000084,1,2,Generic Taxable Product
13000610,Fireplaces,13000084,1,2,Generic Taxable Product
13000611,Fireplace Accessories,13000084,1,2,Generic Taxable Product
13000612,Decorative Containers,13000084,1,2,Generic Taxable Product
13000613,Figurines ,13000084,1,2,Generic Taxable Product
13000614,Area Rugs,13000501,1,2,Generic Taxable Product
